[dotenv@17.2.3] injecting env (20) from .env.local -- tip: 📡 add observability to secrets: https://dotenvx.com/ops
--- PRODUCTS & TAGS ---
Product: "Concrete Breeze Block" | Tag: "Cement Jaali" | CatSlug: "cement-jaali"
Product: "Elevation Bricks" | Tag: "Exposed Bricks" | CatSlug: "exposed-bricks"
Product: "Precision Press™ - Smooth Series" | Tag: "Brick Wall Tiles" | CatSlug: "brick-wall-tiles"
Product: "Precision Press™ - Textured Series" | Tag: "Brick Wall Tiles" | CatSlug: "brick-wall-tiles"
Product: "Handmade Series" | Tag: "Brick Wall Tiles" | CatSlug: "brick-wall-tiles"
Product: "Wirecut Brick Tile - KilnEdge" | Tag: "Brick Wall Tiles" | CatSlug: "brick-wall-tiles"
Product: "Handmade/Linear Series" | Tag: "Brick Wall Tiles" | CatSlug: "brick-wall-tiles"
Product: "Clay Breeze Blocks" | Tag: "Terracotta Jali" | CatSlug: "terracotta-jaalis"

--- CATEGORIES ---
Category: "Clay Ceiling Tile" | Slug: "clay-ceiling-tile"
Category: "Premium Roof Tile" | Slug: "premium-roof-tile"
Category: "Cement Jaali" | Slug: "cement-jaali"
Category: "Jaali" | Slug: "jaali"
Category: "Terracotta Jali" | Slug: "terracotta-jaalis"
Category: "Brick Tiles" | Slug: "brick-tiles"
Category: "Exposed Bricks" | Slug: "exposed-bricks"
Category: "Ceiling Tiles" | Slug: "ceiling-tiles"
Category: "Roof Tiles" | Slug: "roof-tiles"
Category: "Terracotta Panels" | Slug: "terracotta-panels"
Category: "Floor Tiles" | Slug: "floor-tiles"
Category: "Rustic Brick Tiles" | Slug: "rustic-brick-tiles"
Category: "Wire Cut Brick Tiles" | Slug: "wire-cut-brick-tiles"
Category: "Smooth Brick Tiles" | Slug: "smooth-brick-tiles"
Category: "Textured Brick Tiles" | Slug: "textured-brick-tiles"
Category: "Reclaimed Brick Tiles" | Slug: "reclaimed-brick-tiles"
Category: "Distressed Brick Tiles" | Slug: "distressed-brick-tiles"
Category: "Linear Brick Tiles" | Slug: "linear-brick-tiles"
Category: "Wirecut Bricks" | Slug: "wirecut-bricks"
Category: "Extruded Bricks" | Slug: "extruded-bricks"
Category: "Compressed Bricks" | Slug: "compressed-bricks"
Category: "Pressed Bricks" | Slug: "pressed-bricks"
Category: "Dust Pressed Bricks" | Slug: "dust-pressed-bricks"
Category: "Handmade Bricks" | Slug: "handmade-bricks"
Category: "Perforated Bricks" | Slug: "perforated-bricks"
Category: "Mangalore Roof Tiles" | Slug: "mangalore-roof-tiles"
Category: "Euro Roof Tiles" | Slug: "euro-roof-tiles"
Category: "Clay Roof Tiles" | Slug: "clay-roof-tiles"
Category: "Pressed Floor Tiles" | Slug: "pressed-floor-tiles"
Category: "Handmade Floor Tiles" | Slug: "handmade-floor-tiles"
Category: "Hexagon Floor Tiles" | Slug: "hexagon-floor-tiles"
Category: "Premium Floor Tiles" | Slug: "premium-floor-tiles"
Category: "Grooved Panels" | Slug: "grooved-panels"
Category: "Terracotta Wall Panels" | Slug: "terracotta-wall-panels"
Category: "Clay Hollow Bricks" | Slug: "clay-hollow-bricks"
Category: "Premium Brick Tile" | Slug: "premium-brick-tile"
Category: "Cement Jali" | Slug: "cement-jali"
Category: "Brick Wall Tiles" | Slug: "brick-wall-tiles"
Category: "Exposed Bricks" | Slug: "exposed-bricks"
